id,year,date,primary_weapon,threat_type,flee_status,was_mental_illness_related,body_camera,race,gender,age,city,county,state,agency_name,agency_type,agency_ids,latitude,longitude,location_precision
3,2015,2015-01-02,gun,point,not,1,0,Asian Heritage,male,53.0,Shelton,Mason,WA,Mason County Sheriff's Office,sheriff,73,47.246826,-123.121592,not_available
4,2015,2015-01-02,gun,point,not,0,0,White,male,47.0,Aloha,Washington,OR,Washington County Sheriff's Office,sheriff,70,45.4874214,-122.8916961,not_available
5,2015,2015-01-03,unarmed,move,not,0,0,Hispanic,male,23.0,Wichita,Sedgwick,KS,Wichita Police Department,local_police,238,37.694766,-97.280554,not_available
8,2015,2015-01-04,replica,point,not,1,0,White,male,32.0,San Francisco,San Francisco,CA,San Francisco Police Department,local_police,196,37.76291,-122.422001,not_available
9,2015,2015-01-04,other,point,not,0,0,Hispanic,male,39.0,Evans,Weld,CO,Evans Police Department,local_police,473,40.383937,-104.692261,not_available
11,2015,2015-01-04,gun,attack,not,0,0,White,male,18.0,Guthrie,Logan,OK,Oklahoma Highway Patrol,state_police,101,35.876991,-97.423454,not_available
13,2015,2015-01-05,gun,shoot,car,0,0,Hispanic,male,22.0,Chandler,Maricopa,AZ,Chandler Police Department,local_police,195,33.327887,-111.840959,not_available
15,2015,2015-01-06,gun,point,not,0,0,White,male,35.0,Assaria,Saline,KS,Saline County Sheriff's Department,sheriff,490,38.703755,-97.563904,not_available
16,2015,2015-01-06,unarmed,accident,not,0,1,White,female,34.0,Burlington,Des Moines,IA,Burlington Police Department,local_police,287,40.80925,-91.118875,not_available
17,2015,2015-01-06,replica,point,not,0,0,Black,male,47.0,Knoxville,Allegheny,PA,U.S. Marshals Service,federal,26254,40.412936,-79.991408,not_available
19,2015,2015-01-06,knife,attack,not,0,0,White,male,25.0,Stockton,San Joaquin,CA,Stockton Police Department,local_police,168,37.929798,-121.298909,not_available
21,2015,2015-01-07,gun,point,not,0,0,Black,male,31.0,Freeport,Brazoria,TX,Freeport Police Department,local_police,246,28.954889,-95.368801,not_available
22,2015,2015-01-07,knife,threat,not,1,0,Black,male,41.0,Columbus,Franklin,OH,Columbus Police Department,local_police,90,39.99874,-82.885407,not_available
25,2015,2015-01-07,gun,point,car,0,0,White,male,30.0,Des Moines,Polk,IA,Des Moines Police Department,local_police,115,41.581526,-93.608994,not_available
27,2015,2015-01-07,gun,shoot,foot,0,1,Black,male,37.0,New Orleans,Orleans,LA,New Orleans Police Department,local_police,145,30.021509,-90.012433,not_available
29,2015,2015-01-08,unknown,undetermined,not,0,0,White,male,28.0,Huntley,Yellowstone,MT,Yellowstone County Sheriff's Department,sheriff,254,45.85939,-108.315018,not_available
32,2015,2015-01-08,blunt_object,attack,not,0,1,White,male,42.0,Salt Lake City,Salt Lake,UT,Salt Lake City Police Department,local_police,250,40.771699,-111.871568,not_available
36,2015,2015-01-08,unarmed,attack,not,0,0,Black,male,36.0,Strong,Union,AR,Union County Sheriff's Department,sheriff,249,33.111333,-92.358981,not_available
37,2015,2015-01-08,gun,shoot,not,0,1,White,male,49.0,Syracuse,Davis,UT,Davis County Sheriff's Office,sheriff,491,41.083187,-112.083141,not_available
38,2015,2015-01-09,gun,shoot,not,0,0,White,male,71.0,England,Lonoke,AR,England Police Department,local_police,289,34.542149,-91.965797,not_available
325,2015,2015-01-09,gun,point,not,0,0,Hispanic,male,33.0,El Paso,El Paso,TX,El Paso Police Department,local_police,110,31.857692,-106.438816,not_available
42,2015,2015-01-11,gun,point,not,1,0,White,male,39.0,Arcola,Douglas,IL,Arcola Police Department,local_police,290,39.691905,-88.30361,not_available
43,2015,2015-01-11,gun,point,not,0,0,Hispanic,male,23.0,South Gate,Los Angeles,CA,South Gate Police Department,local_police,494,33.950769,-118.18265,not_available
45,2015,2015-01-11,gun,point,foot,0,0,Hispanic,male,29.0,North Las Vegas,Clark,NV,North Las Vegas Police Department,local_police,493,36.185136,-115.116317,not_available
46,2015,2015-01-13,gun,shoot,foot,0,1,White,male,34.0,Albuquerque,Bernalillo,NM,Albuquerque Police Department,local_police,508,35.094656,-106.586248,not_available
48,2015,2015-01-13,knife,threat,not,1,0,White,male,43.0,Jourdanton,Atascosa,TX,Jourdanton Police Department,local_police,292,28.911926,-98.542476,not_available
49,2015,2015-01-14,unknown,attack,not,0,0,Black,male,24.0,St. Paul,Ramsey,MN,St. Paul Police Department,local_police,63,44.957673,-93.094123,not_available
50,2015,2015-01-14,unknown,attack,not,0,0,White,male,29.0,Franklin County,Franklin,MO,Franklin County Sheriff's Department,sheriff,278,38.31704,-90.794297,not_available
51,2015,2015-01-14,gun,shoot,not,1,0,Black,male,34.0,Chesapeake,Chesapeake City,VA,Chesapeake Police Department,local_police,1237,36.782704,-76.347536,not_available
